Country,Tests,Test Pop,Density,Urban Pop,QuarantineFlg,SchoolsFlg,RestrictionsFlg,Hospital Bed,sex0,sex14,sex25,sex54,sex64,sex65plus,Sex Ratio,lung,Female Lung,Male Lung,Median Age,GDP 2018,Crime Index,Population 2020,Smoking 2016,Females 2018,TotalInfected,TotalDeaths,TotalRecovered,DeathRate,RecoveryRate
1,0,0,105,63,0,0,0,2.9,1.08,1.11,1.09,0.93,0.95,0.87,0.98,11.67,7.02,17.04,32.9,15102500898,40.02,2877.797,28.7,49.0630946,803,31,543,0.03860523,0.676214197
2,0,0,18,73,0,0,0,1.9,1.05,1.05,1.05,1.03,1.01,0.89,1.03,8.77,5.03,12.81,28.1,1.73758E+11,54.41,43851.044,15.6,49.48426788,4648,465,1998,0.100043029,0.429862306
3,0,0,17,93,1,0,0,5,1.05,1.06,1.05,1,0.94,0.71,0.98,29.27,20.16,42.59,31.7,5.19872E+11,62.96,45195.774,21.8,51.23734845,4887,260,1442,0.053202374,0.295068549
4,694,4269.802594,104,63,0,0,0,4.2,1.13,1.14,1.06,0.93,0.84,0.67,0.94,23.86,16.17,35.99,35.1,12433089919,20.78,2963.243,24.1,52.95657715,2507,39,1071,0.015556442,0.427203829
5,31635,806.0655603,3,86,0,0,1,3.8,1.06,1.06,1.09,0.99,0.93,0.86,0.99,18.79,15.9,22.16,38.7,1.4339E+12,42.7,25499.884,14.7,50.19962324,6847,96,5887,0.014020739,0.85979261
6,10278,876.2792372,109,57,1,0,0,7.6,1.05,1.05,1.04,1,0.98,0.76,0.96,17.02,13.02,22.14,44,4.55286E+11,23.23,9006.398,29.6,50.82942665,15621,600,13316,0.038409833,0.852442225
7,0,0,123,56,0,0,0,4.7,1.11,1.15,1.09,0.96,0.86,0.62,0.98,20.61,14.07,29.32,31.3,46939529412,32.68,10139.177,20.8,50.1157491,1984,26,1480,0.013104839,0.745967742
8,13553,125.5496938,2239,89,0,0,0,6.8,1.03,1.03,1.3,1.88,1.81,0.95,0,18.37,13.83,22.39,32.3,37746196809,29.18,1701.575,26.4,36.34825161,3533,8,1744,0.002264365,0.493631475
9,0,0,1265,39,0,0,0,0.8,1.04,1.04,1,0.93,0.98,0.97,0.97,69.07,61.7,76.24,26.7,2.74025E+11,64.98,164689.383,23,49.38729667,10143,182,1209,0.017943409,0.119195504
10,16000,590.5826875,47,79,0,0,0,11,1.06,1.06,1.06,0.97,0.79,0.46,0.87,9.46,2.83,21.51,40,59662495092,24.8,9449.323,26.7,53.45605422,17489,103,3259,0.005889416,0.186345703
11,4225,2743.106036,383,98,1,0,0,6.2,1.05,1.05,1.04,1.02,0.98,0.76,0.97,27.11,21.2,34.98,41.4,5.42761E+11,42.5,11589.623,28.2,50.59331939,50267,7924,12378,0.157638212,0.246245051
12,0,0,64,52,0,0,0,3.5,1.07,1.07,1.07,1.01,0.92,0.64,0.95,18.48,12.88,26.05,42.1,20161865419,43.57,3280.819,38.9,51.01053603,1926,78,855,0.040498442,0.443925234
13,2927,72620.23129,25,88,0,0,0,2.2,1.05,1.04,1.03,0.98,0.89,0.74,0.97,26.57,19.71,35.83,32,1.86863E+12,69.48,212559.417,13.9,50.82991676,108620,7367,45815,0.067823605,0.421791567
14,0,0,64,76,0,0,0,6.8,1.06,1.06,1.09,1.06,0.88,0.69,0.95,19.79,13.98,27.92,42.7,65132951116,39.31,6948.445,37,51.41408841,1652,78,321,0.047215496,0.194309927
15,0,0,95,24,0,0,0,0.8,1.05,1.02,0.98,0.96,0.65,0.6,0.94,34.21,30.47,39.66,25.3,24542474061,51.8,16718.965,17.2,51.19798127,122,0,120,0,0.983606557
16,76964,490.3871161,4,81,0,1,1,2.7,1.06,1.05,1.06,1.03,0.98,0.8,0.98,19.01,16.95,21.55,42.2,1.71334E+12,39.48,37742.154,14.3,50.39152995,61957,4003,26030,0.064609326,0.42013009
17,0,0,26,85,0,0,0,2.2,1.04,1.04,1.04,1,0.89,0.72,0.97,14.84,12.24,18.58,34.4,2.98231E+11,47.12,19116.201,37.8,50.72703184,20643,270,10415,0.013079494,0.50452938
18,320000,4497.8868,153,61,1,0,0,4.2,1.15,1.17,1.14,1.04,1.02,0.92,1.06,63.1,56.35,70.52,37.4,1.36082E+13,36.7,1439323.776,25.6,48.67937396,83966,4637,78792,0.055224734,0.93837982
19,2571,19791.08946,46,80,1,0,0,1.5,1.06,1.05,1.04,0.98,0.88,0.72,0.98,36.3,31.33,42.49,30,3.31047E+11,52.54,50882.891,9,50.9257717,7973,358,1807,0.044901543,0.22663991
20,0,0,100,80,0,0,0,1.2,1.05,1.05,1.04,1.01,0.95,0.86,1.01,20.42,17.65,23.65,31.3,60130106116,55.77,5094.118,11.9,50.0098511,742,6,399,0.008086253,0.537735849
21,1159,3542.07679,73,58,0,0,0,5.6,1.06,1.06,1.05,1,0.96,0.69,0.93,21.75,14.54,32.7,43,60971699315,24.23,4105.267,37,51.85262175,2101,80,1522,0.038077106,0.724416944
22,0,0,106,78,0,0,0,5.2,1.06,1.06,1.08,1.01,0.94,0.81,0.99,23.3,20.53,26.67,41.5,1.00023E+11,27.62,11326.616,35.2,50.33284983,1668,69,876,0.041366906,0.525179856
23,0,0,131,67,0,0,0,3.4,1.05,1.06,1.19,1.11,0.92,0.77,1.04,17.85,11.34,26.04,36.8,24961988663,29.62,1207.359,36.4,49.9710745,874,15,296,0.017162471,0.338672769
24,6302,1699.298794,139,74,0,1,1,6.5,1.06,1.06,1.06,1.05,0.94,0.7,0.97,19.68,13.1,28.54,42.1,2.45226E+11,25.99,10708.981,34.3,50.80858893,7819,252,3807,0.032229185,0.486890907
25,7620,760.1314961,137,88,1,0,0,2.5,1.06,1.05,1.04,0.99,0.99,0.81,0.97,31.99,31.31,32.85,42.2,3.55675E+11,24.72,5792.202,19.1,50.27420273,9868,493,7284,0.049959465,0.738143494
26,0,0,225,85,0,0,0,1.6,1.04,1.04,1.04,1.05,1.01,0.86,1.03,11.43,9.5,13.57,28.1,85555390387,60.62,10847.91,13.7,50.00779607,8235,346,1771,0.042015786,0.215057681
27,0,0,71,63,0,0,0,1.5,1.05,1.04,1.03,0.95,0.96,0.91,0.99,24.07,18.85,30.17,27.7,1.08398E+11,48.91,17643.054,7.1,49.97062518,31881,1569,3433,0.049214266,0.107681691
28,1387,956.405912,31,68,0,0,0,5,1.05,1.05,1.08,1.01,0.81,0.51,0.88,8.8,3.59,18.36,42.7,30732144529,22.17,1326.535,31.3,52.85842682,1703,55,259,0.032295948,0.152084557
29,0,0,115,21,0,0,0,0.3,1.03,1.01,0.99,0.99,0.95,0.82,0.99,18.56,13.55,24.28,17.9,84355604753,47.46,114963.588,4.4,49.97888842,140,3,75,0.021428571,0.535714286
30,900,6156.355556,18,86,0,0,0,4.4,1.05,1.05,1.04,1.04,0.97,0.76,0.97,9.92,5.47,15.97,42.5,2.76743E+11,22.75,5540.72,20.4,50.72075849,5327,240,3500,0.045053501,0.657030223
31,11071,5895.90019,119,82,1,0,0,6.5,1.05,1.05,1.05,1.01,0.93,0.75,0.96,13.15,9.64,17.69,41.4,2.77754E+12,46.45,65273.511,32.7,51.58424048,169583,25204,51476,0.148623388,0.303544577
32,0,0,57,58,0,0,0,2.6,1.08,1.11,1.11,0.95,0.81,0.64,0.92,23.26,15.96,34.46,38.1,17599660629,20.18,3989.167,28.8,52.2912375,593,9,223,0.015177066,0.376053963
